Base Path: /home/ltato/LiteScript_online_playground/playground/js
Main Module: ./online
addMember: 'constructor' to 'prototype'
addMember: 'bind' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'call' to 'prototype'
addMember: 'apply' to 'prototype'
addMember: 'length' to 'Boolean'
addMember: 'name' to 'Boolean'
addMember: 'arguments' to 'Boolean'
addMember: 'caller' to 'Boolean'
addMember: 'prototype' to 'Boolean'
addMember: 'constructor' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'valueOf' to 'prototype'
addMember: 'length' to 'Array'
addMember: 'name' to 'Array'
addMember: 'arguments' to 'Array'
addMember: 'caller' to 'Array'
addMember: 'prototype' to 'Array'
addMember: 'length' to 'prototype'
addMember: 'constructor' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'toLocaleString' to 'prototype'
addMember: 'join' to 'prototype'
addMember: 'pop' to 'prototype'
addMember: 'push' to 'prototype'
addMember: 'concat' to 'prototype'
addMember: 'reverse' to 'prototype'
addMember: 'shift' to 'prototype'
addMember: 'unshift' to 'prototype'
addMember: 'slice' to 'prototype'
addMember: 'splice' to 'prototype'
addMember: 'sort' to 'prototype'
addMember: 'filter' to 'prototype'
addMember: 'forEach' to 'prototype'
addMember: 'some' to 'prototype'
addMember: 'every' to 'prototype'
addMember: 'map' to 'prototype'
addMember: 'indexOf' to 'prototype'
addMember: 'lastIndexOf' to 'prototype'
addMember: 'reduce' to 'prototype'
addMember: 'reduceRight' to 'prototype'
addMember: 'isArray' to 'Array'
addMember: 'length' to 'Number'
addMember: 'name' to 'Number'
addMember: 'arguments' to 'Number'
addMember: 'caller' to 'Number'
addMember: 'prototype' to 'Number'
addMember: 'constructor' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'toLocaleString' to 'prototype'
addMember: 'valueOf' to 'prototype'
addMember: 'toFixed' to 'prototype'
addMember: 'toExponential' to 'prototype'
addMember: 'toPrecision' to 'prototype'
addMember: 'MAX_VALUE' to 'Number'
addMember: 'MIN_VALUE' to 'Number'
addMember: 'NaN' to 'Number'
addMember: 'NEGATIVE_INFINITY' to 'Number'
addMember: 'POSITIVE_INFINITY' to 'Number'
addMember: 'isFinite' to 'Number'
addMember: 'isNaN' to 'Number'
addMember: 'length' to 'Date'
addMember: 'name' to 'Date'
addMember: 'arguments' to 'Date'
addMember: 'caller' to 'Date'
addMember: 'prototype' to 'Date'
addMember: 'constructor' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'toDateString' to 'prototype'
addMember: 'toTimeString' to 'prototype'
addMember: 'toLocaleString' to 'prototype'
addMember: 'toLocaleDateString' to 'prototype'
addMember: 'toLocaleTimeString' to 'prototype'
addMember: 'valueOf' to 'prototype'
addMember: 'getTime' to 'prototype'
addMember: 'getFullYear' to 'prototype'
addMember: 'getUTCFullYear' to 'prototype'
addMember: 'getMonth' to 'prototype'
addMember: 'getUTCMonth' to 'prototype'
addMember: 'getDate' to 'prototype'
addMember: 'getUTCDate' to 'prototype'
addMember: 'getDay' to 'prototype'
addMember: 'getUTCDay' to 'prototype'
addMember: 'getHours' to 'prototype'
addMember: 'getUTCHours' to 'prototype'
addMember: 'getMinutes' to 'prototype'
addMember: 'getUTCMinutes' to 'prototype'
addMember: 'getSeconds' to 'prototype'
addMember: 'getUTCSeconds' to 'prototype'
addMember: 'getMilliseconds' to 'prototype'
addMember: 'getUTCMilliseconds' to 'prototype'
addMember: 'getTimezoneOffset' to 'prototype'
addMember: 'setTime' to 'prototype'
addMember: 'setMilliseconds' to 'prototype'
addMember: 'setUTCMilliseconds' to 'prototype'
addMember: 'setSeconds' to 'prototype'
addMember: 'setUTCSeconds' to 'prototype'
addMember: 'setMinutes' to 'prototype'
addMember: 'setUTCMinutes' to 'prototype'
addMember: 'setHours' to 'prototype'
addMember: 'setUTCHours' to 'prototype'
addMember: 'setDate' to 'prototype'
addMember: 'setUTCDate' to 'prototype'
addMember: 'setMonth' to 'prototype'
addMember: 'setUTCMonth' to 'prototype'
addMember: 'setFullYear' to 'prototype'
addMember: 'setUTCFullYear' to 'prototype'
addMember: 'toGMTString' to 'prototype'
addMember: 'toUTCString' to 'prototype'
addMember: 'getYear' to 'prototype'
addMember: 'setYear' to 'prototype'
addMember: 'toISOString' to 'prototype'
addMember: 'toJSON' to 'prototype'
addMember: 'UTC' to 'Date'
addMember: 'parse' to 'Date'
addMember: 'now' to 'Date'
addMember: 'length' to 'RegExp'
addMember: 'name' to 'RegExp'
addMember: 'arguments' to 'RegExp'
addMember: 'caller' to 'RegExp'
addMember: 'prototype' to 'RegExp'
addMember: 'source' to 'prototype'
addMember: 'global' to 'prototype'
addMember: 'ignoreCase' to 'prototype'
addMember: 'multiline' to 'prototype'
addMember: 'lastIndex' to 'prototype'
addMember: 'constructor' to 'prototype'
addMember: 'exec' to 'prototype'
addMember: 'test' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'compile' to 'prototype'
addMember: 'input' to 'RegExp'
addMember: '$_' to 'RegExp'
addMember: '$input' to 'RegExp'
addMember: 'multiline' to 'RegExp'
addMember: '$*' to 'RegExp'
addMember: 'lastMatch' to 'RegExp'
addMember: '$&' to 'RegExp'
addMember: 'lastParen' to 'RegExp'
addMember: '$+' to 'RegExp'
addMember: 'leftContext' to 'RegExp'
addMember: '$`' to 'RegExp'
addMember: 'rightContext' to 'RegExp'
addMember: '$'' to 'RegExp'
addMember: '$1' to 'RegExp'
addMember: '$2' to 'RegExp'
addMember: '$3' to 'RegExp'
addMember: '$4' to 'RegExp'
addMember: '$5' to 'RegExp'
addMember: '$6' to 'RegExp'
addMember: '$7' to 'RegExp'
addMember: '$8' to 'RegExp'
addMember: '$9' to 'RegExp'
addMember: 'parse' to 'JSON'
addMember: 'stringify' to 'JSON'
addMember: 'length' to 'Error'
addMember: 'name' to 'Error'
addMember: 'arguments' to 'Error'
addMember: 'caller' to 'Error'
addMember: 'prototype' to 'Error'
addMember: 'constructor' to 'prototype'
addMember: 'name' to 'prototype'
addMember: 'message' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'captureStackTrace' to 'Error'
addMember: 'length' to 'captureStackTrace'
addMember: 'name' to 'captureStackTrace'
addMember: 'arguments' to 'captureStackTrace'
addMember: 'caller' to 'captureStackTrace'
addMember: 'prototype' to 'captureStackTrace'
addMember: 'constructor' to 'prototype'
addMember: 'stackTraceLimit' to 'Error'
addMember: 'stack' to 'prototype'
addMember: 'E' to 'Math'
addMember: 'LN10' to 'Math'
addMember: 'LN2' to 'Math'
addMember: 'LOG2E' to 'Math'
addMember: 'LOG10E' to 'Math'
addMember: 'PI' to 'Math'
addMember: 'SQRT1_2' to 'Math'
addMember: 'SQRT2' to 'Math'
addMember: 'random' to 'Math'
addMember: 'abs' to 'Math'
addMember: 'acos' to 'Math'
addMember: 'asin' to 'Math'
addMember: 'atan' to 'Math'
addMember: 'ceil' to 'Math'
addMember: 'cos' to 'Math'
addMember: 'exp' to 'Math'
addMember: 'floor' to 'Math'
addMember: 'log' to 'Math'
addMember: 'round' to 'Math'
addMember: 'sin' to 'Math'
addMember: 'sqrt' to 'Math'
addMember: 'tan' to 'Math'
addMember: 'atan2' to 'Math'
addMember: 'pow' to 'Math'
addMember: 'max' to 'Math'
addMember: 'min' to 'Math'
addMember: 'imul' to 'Math'
addMember: 'true' to 'Project Root Scope'
addMember: 'false' to 'Project Root Scope'
addMember: 'on' to 'Project Root Scope'
addMember: 'off' to 'Project Root Scope'
addMember: 'undefined' to 'Project Root Scope'
addMember: 'null' to 'Project Root Scope'
addMember: 'debug' to 'Compiler Vars'
addMember: 'inNode' to 'Compiler Vars'
addMember: 'inBrowser' to 'Compiler Vars'

   'Project' imports './online'
[object Object]
addToScope: 'module' to '/home/ltato/LiteScript_online_playground/playground/js/online.md Scope'
addMember: 'exports' to 'module'
addToScope: 'exports' to '/home/ltato/LiteScript_online_playground/playground/js/online.md Scope'
addMember: 'filename' to 'module'
   compile: 'online.md'
1 0(COMMENT) Dependencies
2 0(COMMENT) -------------
3 (BLANK)
4 4(CODE) compiler import jQuery, Document
5 (BLANK)
6 4(CODE) compiler import ace
7 (BLANK)
8 4(CODE) compiler import httpGet, require
9 (BLANK)
10 0(COMMENT) Setup Environment
11 0(COMMENT) -----------------
12 (BLANK)
13 0(COMMENT) emulate node's environment, global & 'process'
14 0(COMMENT) for the LiteScript compiler
15 (BLANK)
16 4(CODE) var global = window
17 (BLANK)
18 4(CODE) append to object window
19 8(CODE) properties
20 12(CODE) process:
21 16(CODE) exit:function(code)
22 20(CODE) throw new Error('exit code '+code)
23 (BLANK)
24 0(COMMENT) set compiler log messages to memory
25 (BLANK)
26 4(CODE) import log from '../lib/log'
27 4(CODE) log.options.storeMessages = true
28 (BLANK)
29 4(CODE) declare on Error
30 8(CODE) controled, soft
31 (BLANK)
32 0(COMMENT) import compiler
33 (BLANK)
34 4(CODE) import LiteScript from '../lib/Compiler'
35 (BLANK)
36 (BLANK)
37 0(COMMENT) Page Vars
38 0(COMMENT) ---------
39 (BLANK)
40 4(CODE) var
41 8(CODE) CompareOrig_ed : ace.Editor
42 8(CODE) CompareJs_ed : ace.Editor
43 (BLANK)
44 8(CODE) loadedFname : string
45 (BLANK)
46 8(CODE) compileOptions = {extraComments:true}
47 (BLANK)
48 0(COMMENT) utility String protoype functions
49 0(COMMENT) ----------
50 (BLANK)
51 4(CODE) append to class String
52 8(CODE) shim method startsWith(s:string)
53 11(CODE) return this.substr(0,s.length) is s
54 (BLANK)
55 8(CODE) shim method endsWith(s:string)
56 11(CODE) return this.substr(-s.length) is s
57 (BLANK)
58 0(COMMENT) MAIN
59 0(COMMENT) -----------
60 (BLANK)
61 4(CODE) function OnLine_Main()
62 (BLANK)
63 8(CODE) $("#version").text "v"+LiteScript.version
64 (BLANK)
65 8(CODE) CompareOrig_ed = mkEditor("Compare-Lite")
66 8(CODE) CompareJs_ed = mkEditor("Compare-js")
67 (BLANK)
68 8(CODE) loadSample 'Literate.lite.md'
69 (BLANK)
70 4(CODE) end function
71 (BLANK)
72 (BLANK)
73 4(CODE) function loadSample(fname,callback)
74 (BLANK)
75 8(CODE) loadedFname = fname
76 8(CODE) loadExample fname, function(err,data)
77 12(CODE) if err, return
78 12(CODE) run
79 (BLANK)
80 4(CODE) function run
81 (BLANK)
82 8(CODE) var liteSource = CompareOrig_ed.getValue();
83 (BLANK)
84 8(COMMENT) //clear
85 8(COMMENT) //syncEditors([CompareOrig_ed, CompareJs_ed], false); //un-sync
86 8(COMMENT) //CompareOrig_ed.setValue("");
87 8(CODE) CompareOrig_ed.resize(true);
88 8(COMMENT) //CompareJs_ed.setValue("");
89 8(COMMENT) //CompareJs_ed.resize(true);
90 (BLANK)
91 8(CODE) log.warning.count=0; //clear
92 8(CODE) log.getMessages(); //clear
93 8(COMMENT) // compile LiteScript -> js
94 8(CODE) try
95 12(CODE) var compiled = LiteScript.compile(loadedFname, liteSource, compileOptions);
96 9(CODE) catch e
97 12(CODE) console.log(e.stack);
98 12(CODE) compiled = log.getMessages().join('\n');
99 12(CODE) compiled += '\n'+e.message;
100 12(CODE) if not e.controled, compiled += '\n'+e.stack;
101 12(CODE) log.messages = [];
102 (BLANK)
103 (BLANK)
104 8(CODE) if log.warning.count
105 12(COMMENT) //Show warnings
106 12(CODE) compiled = log.getMessages().join('\n') + compiled;
107 (BLANK)
108 (BLANK)
109 8(CODE) CompareJs_ed.setValue(compiled);
110 (BLANK)
111 8(CODE) var linesLite = CompareOrig_ed.getSession().getLength();
112 8(CODE) var linesJs = CompareJs_ed.getSession().getLength();
113 (BLANK)
114 8(CODE) while (linesLite<linesJs)
115 12(CODE) addLines(' ',CompareOrig_ed);
116 12(CODE) linesLite++;
117 (BLANK)
118 8(CODE) while (linesJs<linesLite)
119 12(CODE) addLines(' ',CompareJs_ed);
120 12(CODE) linesJs++;
121 (BLANK)
122 (BLANK)
123 8(COMMENT) //sync eds
124 8(COMMENT) //syncEditors([CompareOrig_ed, CompareJs_ed]);
125 (BLANK)
126 8(CODE) CompareOrig_ed.clearSelection();
127 8(CODE) CompareJs_ed.clearSelection();
128 (BLANK)
129 8(CODE) CompareOrig_ed.scrollToLine(0);
130 8(CODE) CompareJs_ed.scrollToLine(0);
131 (BLANK)
132 (BLANK)
133 4(CODE) function loadExample(fileName:string, callback)
134 (BLANK)
135 8(COMMENT) //syncEditors([CompareOrig_ed, CompareJs_ed],false);
136 (BLANK)
137 8(CODE) CompareJs_ed.setValue("");
138 (BLANK)
139 8(CODE) CompareOrig_ed.setValue("Loading...");
140 8(CODE) CompareOrig_ed.resize(true);
141 (BLANK)
142 8(CODE) document.getElementById('status').textContent=fileName;
143 (BLANK)
144 8(CODE) $.ajax({
145 (BLANK)
146 12(CODE) url: 'examples/html/'+fileName.replace(/\.lite\.md$/,".html") #hack: github won't serve .md from rawgithub
147 (BLANK)
148 12(CODE) success: function (data:string)
149 (BLANK)
150 20(CODE) data = data.replace('\r',''); // remove CR from windows-edited files
151 (BLANK)
152 20(CODE) CompareOrig_ed.setValue(data);
153 (BLANK)
154 20(CODE) CompareOrig_ed.clearSelection();
155 20(CODE) CompareOrig_ed.scrollToLine(0);
156 (BLANK)
157 20(CODE) if callback, callback(null,data);
158 (BLANK)
159 12(CODE) error: function (jqxhr, textStatus, errorThrown)
160 20(CODE) global declare alert
161 20(CODE) declare valid jqxhr.responseText
162 20(CODE) alert jqxhr.responseText
163 (BLANK)
164 20(CODE) if callback, callback(jqxhr);
165 9(CODE) })
**** START MULTILINE  /*
180 (BLANK)
181 4(CODE) function mkEditor(divName) returns ace.Editor
182 (BLANK)
183 8(CODE) var editor = ace.edit(divName);
184 8(CODE) editor.setTheme("ace/theme/monokai");
185 8(CODE) editor.setShowPrintMargin(false);
186 8(CODE) editor.setFontSize(16);
187 (BLANK)
188 8(CODE) var session = editor.getSession();
189 8(CODE) session.setUseWorker(false);
190 8(CODE) session.setMode("ace/mode/javascript");
191 8(CODE) return editor;
192 (BLANK)
193 (BLANK)
194 4(CODE) function addLines(lineArray, ed:ace.Editor)
195 (BLANK)
196 12(CODE) if no lineArray, return;
197 (BLANK)
198 12(CODE) if  type of lineArray is 'string'
199 16(CODE) var a=[];
200 16(CODE) a[0]=lineArray;
201 16(CODE) lineArray=a;
202 (BLANK)
203 (BLANK)
204 12(COMMENT) //console.log(lineArray);
205 12(CODE) ed.session.doc.insertLines(ed.session.doc.getLength()-1, lineArray);
206 12(CODE) ed.resize(true);
207 (BLANK)
208 (BLANK)
209 4(CODE)     function syncEditors(aceEditors: ace.Editor array, onOff)
210 (BLANK)
211 0(COMMENT) Sync side-by-side ace editors scrolling
212 0(COMMENT) from http://codepen.io/ByScripts/pen/fzucK
213 (BLANK)
214 8(CODE) for n=0 while n<aceEditors.length
215 12(CODE) var session1 = aceEditors[n].session;
216 12(CODE) if onOff is off //disconnect
217 16(CODE) session1.removeAllListeners('changeScrollTop');
218 16(CODE) session1.removeAllListeners('changeScrollLeft');
219 (BLANK)
220 12(CODE) else  //connect
221 (BLANK)
222 16(CODE) var session2 = aceEditors[n is aceEditors.length-1 ? 0 else n+1].session;
223 (BLANK)
224 16(CODE) session1.on 'changeScrollTop',
225 18(CODE) function(scroll)
226 20(CODE) session2.setScrollTop(parseInt(scroll) or 0)
227 (BLANK)
228 (BLANK)
**** START MULTILINE  /*
235 16(CODE) session2.on 'changeScrollTop',
236 18(CODE) function(scroll)
237 20(CODE) session1.setScrollTop(parseInt(scroll) or 0)
238 (BLANK)
239 (BLANK)
**** START MULTILINE  /*
246 (BLANK)
247 (BLANK)
248 (BLANK)
249 (BLANK)
---- TOKENIZE
1 0(COMMENT) Dependencies
2 0(COMMENT) -------------
3 (BLANK)
4 4(CODE) compiler import jQuery, Document
5 (BLANK)
6 4(CODE) compiler import ace
7 (BLANK)
8 4(CODE) compiler import httpGet, require
9 (BLANK)
10 0(COMMENT) Setup Environment
11 0(COMMENT) -----------------
12 (BLANK)
13 0(COMMENT) emulate node's environment, global & 'process'
14 0(COMMENT) for the LiteScript compiler
15 (BLANK)
16 4(CODE) var global = window
17 (BLANK)
18 4(CODE) append to object window
19 8(CODE) properties
20 12(CODE) process:
21 16(CODE) exit:function(code)
22 20(CODE) throw new Error('exit code '+code)
23 (BLANK)
24 0(COMMENT) set compiler log messages to memory
25 (BLANK)
26 4(CODE) import log from '../lib/log'
27 4(CODE) log.options.storeMessages = true
28 (BLANK)
29 4(CODE) declare on Error
30 8(CODE) controled, soft
31 (BLANK)
32 0(COMMENT) import compiler
33 (BLANK)
34 4(CODE) import LiteScript from '../lib/Compiler'
35 (BLANK)
36 (BLANK)
37 0(COMMENT) Page Vars
38 0(COMMENT) ---------
39 (BLANK)
40 4(CODE) var
41 8(CODE) CompareOrig_ed : ace.Editor
42 8(CODE) CompareJs_ed : ace.Editor
43 (BLANK)
44 8(CODE) loadedFname : string
45 (BLANK)
46 8(CODE) compileOptions = {extraComments:true}
47 (BLANK)
48 0(COMMENT) utility String protoype functions
49 0(COMMENT) ----------
50 (BLANK)
51 4(CODE) append to class String
52 8(CODE) shim method startsWith(s:string)
53 11(CODE) return this.substr(0,s.length) is s
54 (BLANK)
55 8(CODE) shim method endsWith(s:string)
56 11(CODE) return this.substr(-s.length) is s
57 (BLANK)
58 0(COMMENT) MAIN
59 0(COMMENT) -----------
60 (BLANK)
61 4(CODE) function OnLine_Main()
62 (BLANK)
63 8(CODE) $("#version").text "v"+LiteScript.version
64 (BLANK)
65 8(CODE) CompareOrig_ed = mkEditor("Compare-Lite")
66 8(CODE) CompareJs_ed = mkEditor("Compare-js")
67 (BLANK)
68 8(CODE) loadSample 'Literate.lite.md'
69 (BLANK)
70 4(CODE) end function
71 (BLANK)
72 (BLANK)
73 4(CODE) function loadSample(fname,callback)
74 (BLANK)
75 8(CODE) loadedFname = fname
76 8(CODE) loadExample fname, function(err,data)
77 12(CODE) if err, return
78 12(CODE) run
79 (BLANK)
80 4(CODE) function run
81 (BLANK)
82 8(CODE) var liteSource = CompareOrig_ed.getValue();
83 (BLANK)
84 8(COMMENT) //clear
85 8(COMMENT) //syncEditors([CompareOrig_ed, CompareJs_ed], false); //un-sync
86 8(COMMENT) //CompareOrig_ed.setValue("");
87 8(CODE) CompareOrig_ed.resize(true);
88 8(COMMENT) //CompareJs_ed.setValue("");
89 8(COMMENT) //CompareJs_ed.resize(true);
90 (BLANK)
91 8(CODE) log.warning.count=0; //clear
92 8(CODE) log.getMessages(); //clear
93 8(COMMENT) // compile LiteScript -> js
94 8(CODE) try
95 12(CODE) var compiled = LiteScript.compile(loadedFname, liteSource, compileOptions);
96 9(CODE) catch e
97 12(CODE) console.log(e.stack);
98 12(CODE) compiled = log.getMessages().join('\n');
99 12(CODE) compiled += '\n'+e.message;
100 12(CODE) if not e.controled, compiled += '\n'+e.stack;
101 12(CODE) log.messages = [];
102 (BLANK)
103 (BLANK)
104 8(CODE) if log.warning.count
105 12(COMMENT) //Show warnings
106 12(CODE) compiled = log.getMessages().join('\n') + compiled;
107 (BLANK)
108 (BLANK)
109 8(CODE) CompareJs_ed.setValue(compiled);
110 (BLANK)
111 8(CODE) var linesLite = CompareOrig_ed.getSession().getLength();
112 8(CODE) var linesJs = CompareJs_ed.getSession().getLength();
113 (BLANK)
114 8(CODE) while (linesLite<linesJs)
115 12(CODE) addLines(' ',CompareOrig_ed);
116 12(CODE) linesLite++;
117 (BLANK)
118 8(CODE) while (linesJs<linesLite)
119 12(CODE) addLines(' ',CompareJs_ed);
120 12(CODE) linesJs++;
121 (BLANK)
122 (BLANK)
123 8(COMMENT) //sync eds
124 8(COMMENT) //syncEditors([CompareOrig_ed, CompareJs_ed]);
125 (BLANK)
126 8(CODE) CompareOrig_ed.clearSelection();
127 8(CODE) CompareJs_ed.clearSelection();
128 (BLANK)
129 8(CODE) CompareOrig_ed.scrollToLine(0);
130 8(CODE) CompareJs_ed.scrollToLine(0);
131 (BLANK)
132 (BLANK)
133 4(CODE) function loadExample(fileName:string, callback)
134 (BLANK)
135 8(COMMENT) //syncEditors([CompareOrig_ed, CompareJs_ed],false);
136 (BLANK)
137 8(CODE) CompareJs_ed.setValue("");
138 (BLANK)
139 8(CODE) CompareOrig_ed.setValue("Loading...");
140 8(CODE) CompareOrig_ed.resize(true);
141 (BLANK)
142 8(CODE) document.getElementById('status').textContent=fileName;
143 (BLANK)
144 8(CODE) $.ajax({
145 (BLANK)
146 12(CODE) url: 'examples/html/'+fileName.replace(/\.lite\.md$/,".html") #hack: github won't serve .md from rawgithub
147 (BLANK)
148 12(CODE) success: function (data:string)
149 (BLANK)
150 20(CODE) data = data.replace('\r',''); // remove CR from windows-edited files
151 (BLANK)
152 20(CODE) CompareOrig_ed.setValue(data);
153 (BLANK)
154 20(CODE) CompareOrig_ed.clearSelection();
155 20(CODE) CompareOrig_ed.scrollToLine(0);
156 (BLANK)
157 20(CODE) if callback, callback(null,data);
158 (BLANK)
159 12(CODE) error: function (jqxhr, textStatus, errorThrown)
160 20(CODE) global declare alert
161 20(CODE) declare valid jqxhr.responseText
162 20(CODE) alert jqxhr.responseText
163 (BLANK)
164 20(CODE) if callback, callback(jqxhr);
165 9(CODE) })
166 0(COMMENT) 
167 0(COMMENT) 
168 0(COMMENT)         httpGet fileName, function(err,data:string)
169 0(COMMENT) 
170 0(COMMENT)                 if err and no data, data=err.toString();
171 0(COMMENT)                 data = data.replace('\r',''); // remove CR from windows-edited files
172 0(COMMENT) 
173 0(COMMENT)                 CompareOrig_ed.setValue(data);
174 0(COMMENT) 
175 0(COMMENT)                 CompareOrig_ed.clearSelection();
176 0(COMMENT)                 CompareOrig_ed.scrollToLine(0);
177 0(COMMENT) 
178 0(COMMENT)                 if callback, callback(err,data);
180 (BLANK)
181 4(CODE) function mkEditor(divName) returns ace.Editor
182 (BLANK)
183 8(CODE) var editor = ace.edit(divName);
184 8(CODE) editor.setTheme("ace/theme/monokai");
185 8(CODE) editor.setShowPrintMargin(false);
186 8(CODE) editor.setFontSize(16);
187 (BLANK)
188 8(CODE) var session = editor.getSession();
189 8(CODE) session.setUseWorker(false);
190 8(CODE) session.setMode("ace/mode/javascript");
191 8(CODE) return editor;
192 (BLANK)
193 (BLANK)
194 4(CODE) function addLines(lineArray, ed:ace.Editor)
195 (BLANK)
196 12(CODE) if no lineArray, return;
197 (BLANK)
198 12(CODE) if  type of lineArray is 'string'
199 16(CODE) var a=[];
200 16(CODE) a[0]=lineArray;
201 16(CODE) lineArray=a;
202 (BLANK)
203 (BLANK)
204 12(COMMENT) //console.log(lineArray);
205 12(CODE) ed.session.doc.insertLines(ed.session.doc.getLength()-1, lineArray);
206 12(CODE) ed.resize(true);
207 (BLANK)
208 (BLANK)
209 4(CODE)     function syncEditors(aceEditors: ace.Editor array, onOff)
210 (BLANK)
211 0(COMMENT) Sync side-by-side ace editors scrolling
212 0(COMMENT) from http://codepen.io/ByScripts/pen/fzucK
213 (BLANK)
214 8(CODE) for n=0 while n<aceEditors.length
215 12(CODE) var session1 = aceEditors[n].session;
216 12(CODE) if onOff is off //disconnect
217 16(CODE) session1.removeAllListeners('changeScrollTop');
218 16(CODE) session1.removeAllListeners('changeScrollLeft');
219 (BLANK)
220 12(CODE) else  //connect
221 (BLANK)
222 16(CODE) var session2 = aceEditors[n is aceEditors.length-1 ? 0 else n+1].session;
223 (BLANK)
224 16(CODE) session1.on 'changeScrollTop',
225 18(CODE) function(scroll)
226 20(CODE) session2.setScrollTop(parseInt(scroll) or 0)
227 (BLANK)
228 (BLANK)
229 0(COMMENT) session1.on('changeScrollLeft',
230 0(COMMENT)                   function(scroll) {
231 0(COMMENT)                     session2.setScrollLeft(parseInt(scroll) || 0)
232 0(COMMENT)                   }
233 0(COMMENT)                 );
234 0(COMMENT)     
235 16(CODE) session2.on 'changeScrollTop',
236 18(CODE) function(scroll)
237 20(CODE) session1.setScrollTop(parseInt(scroll) or 0)
238 (BLANK)
239 (BLANK)
240 0(COMMENT) session2.on('changeScrollLeft',
241 0(COMMENT)                   function(scroll) {
242 0(COMMENT)                     session1.setScrollLeft(parseInt(scroll) || 0)
243 0(COMMENT)                   }
244 0(COMMENT)                 );
245 0(COMMENT)     
246 (BLANK)
247 (BLANK)
248 (BLANK)
249 (BLANK)
>>>ADVANCE 4:0 [-1] ' '(NEWLINE)
      Module matched OK: NEWLINE  
>>>ADVANCE 4:5 [0] 'compiler'(IDENTIFIER)
optFreeFormList [Module] parentname:Project Root parentIndent:undefined, blockIndent:4, get SeparatedList of [Statement] by ';' closer: EOF
freeForm Mode .lexer.indent:4 block indent:4 parentIndent:undefined
